ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
02-09,2,9999999999,99999999990,FAIL,Microsoft Edge
02-10,2,9999999999.1,99999999990.1,FAIL,Google Chrome
02-10,2,9999999999.1,99999999990.1,FAIL,Firefox
02-10,2,9999999999.1,99999999990.1,FAIL,Microsoft Edge
02-11,2,0.22222222,0.111111110.11111111,FAIL,Google Chrome
02-11,2,0.22222222,0.111111110.11111111,FAIL,Firefox
02-11,2,0.22222222,0.111111110.11111111,FAIL,Microsoft Edge
02-12,2,-1999999998,-999999999,FAIL,Google Chrome
02-12,2,-1999999998,-999999999,FAIL,Firefox
02-12,2,-1999999998,-999999999,FAIL,Microsoft Edge
02-13,2,0,NONE,FAIL,Google Chrome
02-13,2,0,NONE,FAIL,Firefox
02-13,2,0,NONE,FAIL,Microsoft Edge
02-14,2,0,0,PASS,Google Chrome
02-14,2,0,0,PASS,Firefox
02-14,2,0,0,PASS,Microsoft Edge
02-15,2,0.00000001,0.000000010,FAIL,Google Chrome
02-15,2,0.00000001,0.000000010,FAIL,Firefox
02-15,2,0.00000001,0.000000010,FAIL,Microsoft Edge
02-16,2,0,0,PASS,Google Chrome
02-16,2,0,0,PASS,Firefox
02-16,2,0,0,PASS,Microsoft Edge
02-17,2,0,0,PASS,Google Chrome
02-17,2,0,0,PASS,Firefox
02-17,2,0,0,PASS,Microsoft Edge
02-18,2,1999999998,1999999998,PASS,Google Chrome
02-18,2,1999999998,1999999998,PASS,Firefox
02-18,2,1999999998,1999999998,PASS,Microsoft Edge
02-19,2,-1999999998,-1999999998,PASS,Google Chrome
02-19,2,-1999999998,-1999999998,PASS,Firefox
02-19,2,-1999999998,-1999999998,PASS,Microsoft Edge
02-20,2,-19999999,-1.9999999000000002,FAIL,Google Chrome
02-20,2,-19999999,-1.9999999000000002,FAIL,Firefox
02-20,2,-19999999,-1.9999999000000002,FAIL,Microsoft Edge
02-21,2,-2.1,-2.1,PASS,Google Chrome
02-21,2,-2.1,-2.1,PASS,Firefox
02-21,2,-2.1,-2.1,PASS,Microsoft Edge
02-22,2,0.1,0.10000000000000009,FAIL,Google Chrome
02-22,2,0.1,0.10000000000000009,FAIL,Firefox
02-22,2,0.1,0.10000000000000009,FAIL,Microsoft Edge
02-23,2,NONE,NONE,PASS,Google Chrome
02-23,2,NONE,NONE,PASS,Firefox
02-23,2,NONE,NONE,PASS,Microsoft Edge
02-24,2,NONE,NONE,PASS,Google Chrome
